1976,KANSAS,KS,909291,0.5996320209921796,0.3833987139430611,0.016969265064759247,5,0.6,0.4,0.0
1978,KANSAS,KS,675940,0.6518122910317484,0.3447066307660443,0.0034810782022072963,5,0.8,0.2,0.0
1980,KANSAS,KS,933114,0.5571387847572751,0.4335472407444321,0.009313974498292812,5,0.8,0.2,0.0
1982,KANSAS,KS,756345,0.5299658224751932,0.4568113757610614,0.01322280176374538,5,0.6,0.4,0.0
1984,KANSAS,KS,994325,0.5450793251703417,0.437554119628894,0.017366555200764338,5,0.6,0.4,0.0
1986,KANSAS,KS,787370,0.6027280693955828,0.3972719306044172,0.0,5,0.6,0.4,0.0
1988,KANSAS,KS,932065,0.6065113484574574,0.39348865154254253,0.0,5,0.6,0.4,0.0
1990,KANSAS,KS,780998,0.495750309219742,0.504061470067785,0.0001882207124730153,5,0.6,0.4,0.0
1992,KANSAS,KS,1124910,0.5260083028864532,0.4341511765385676,0.03984052057497933,4,0.5,0.5,0.0
1994,KANSAS,KS,817396,0.6350985324126861,0.36490146758731373,0.0,4,1.0,0.0,0.0
1996,KANSAS,KS,1048878,0.5635984356617262,0.4051796300427695,0.031221934295504336,4,1.0,0.0,0.0
1998,KANSAS,KS,727448,0.6186352838965811,0.3742563042306804,0.007108411872738671,4,0.75,0.25,0.0
2000,KANSAS,KS,1035961,0.6330566498159681,0.3168015012148141,0.05014184896921795,4,0.75,0.25,0.0
2002,KANSAS,KS,829890,0.6459000590439696,0.3131872898817916,0.04091265107423876,4,0.75,0.25,0.0
2004,KANSAS,KS,1156383,0.6259120032030911,0.33463826431208343,0.03944973248482553,4,0.75,0.25,0.0
2006,KANSAS,KS,845127,0.5434295673904632,0.4368467697754302,0.019723662834106592,4,0.5,0.5,0.0
2008,KANSAS,KS,1208302,0.5710534286958062,0.3890012596188701,0.039945311685323705,4,0.75,0.25,0.0
2010,KANSAS,KS,835529,0.6320977488513265,0.32912322612380895,0.03877902502486449,4,1.0,0.0,0.0
2012,KANSAS,KS,1057739,0.700532929200871,0.1848329313753204,0.1146341394238087,4,1.0,0.0,0.0
2014,KANSAS,KS,862077,0.6272711138332191,0.3613714320182536,0.011357454148527336,4,1.0,0.0,0.0
2016,KANSAS,KS,1173736,0.5914788334003558,0.2706187762835936,0.13790239031605062,4,1.0,0.0,0.0
2018,KANSAS,KS,1050322,0.536206991760622,0.44213107980219396,0.021661928437184026,4,0.75,0.25,0.0
